 , , M, , , , 

vowel	stress	word	F1	F2	F3	B1	B2	B3	t	beg	end	dur	cd	fm	fp	fv	ps	fs	style	glide	F1@20%	F2@20%	F1@35%	F2@35%	F1@50%	F2@50%	F1@65%	F2@65%	F1@80%	F2@80%	pPhone	fPhone	allPhones	index	nFormants	poles	bandwidths	plotmish - changed	plotmish - removed	plotmish - note	plotmish - annotator				
IH	1	IT	432.4	1864.6	2692.8	72.0	101.1	76.3	11.1	11.08	11.139	0.059	1	1	4	1	0	0			438.5	1879.1	431.4	1862.5	419.8	1842.5	409.5	1813.9	406.1	1782.0		T	['IH1', 'T']	0	5	[408.1509394909245, 2362.0523619090986, 4164.473280877029],[434.2232036350589, 1979.7223073265327, 2792.3332868437337, 4252.492210825105],[432.4385766523009, 1864.613962579534, 2692.7639092122567, 4070.7269895821587],[426.6798011843756, 1411.5302393060344, 2105.326874580025, 3089.418573736173]	[803.5072244408158, 397.46558246248657, 716.8147128044468],[231.70170800358994, 389.1376765610644, 373.96543570518713, 214.10444209128062],[72.00634766894704, 101.06107466061952, 76.33930208107536, 90.85468336662632],[60.81216639845281, 1469.1428013184286, 109.50331849972181, 75.93507656057369]				
AH	0	WAS	358.1	1484.8	2557.2	57.3	82.9	179.5	11.21	11.2	11.23	0.03	6	3	4	2	9	0			358.1	1484.8	358.1	1484.8	355.5	1485.1	352.5	1483.4	352.5	1483.4	W	Z	['W', 'AH0', 'Z']	1	5	[1291.0260931438745, 3261.1241462697276],[360.6715819169744, 1573.7961402628157, 2812.9591351541694, 4409.939783074001],[358.116976549939, 1484.7803388535945, 2557.204471081475, 4064.974862576649],[360.1454777806965, 1280.4846072566306, 1836.9045315187238, 2955.757980949825, 4121.486869127507]	[1385.299218445222, 1499.4797603872794],[282.8473374462631, 321.93477428116205, 608.3469624063895, 333.05000077364167],[57.30434041159263, 82.88426133574254, 179.50178273400033, 399.0034323013289],[67.61302927985247, 2193.7789702079554, 107.76858293368659, 730.6368874404079, 369.15747559589096]				
AW	2	OUTSTANDING	618.5	1318.0	2318.6	130.0	74.3	940.1	11.307	11.29	11.36	0.07	42	1	4	1	0	5			609.4	1350.8	622.8	1278.5	629.4	1235.3	621.3	1201.6	611.8	1169.4		T	['AW2', 'T', 'S', 'T', 'AE1', 'N', 'D', 'IH0', 'NG']	0	6	[1173.5711745496453, 2764.8048028012854],[659.4907866107548, 1334.3032662512153, 2723.152923592057, 4147.588531820534],[617.8184046261525, 1323.8445112424934, 2608.821234929888, 3522.3173122102326],[618.5315834727124, 1317.981976330171, 2318.5614775643285, 2795.400992415344, 3558.2330225775954]	[477.0530512184546, 569.1804272935467],[673.2277983274857, 363.3440110695825, 239.55370024872886, 867.6299134818256],[143.46361130848445, 81.06806219915302, 98.24625823291886, 359.88410005167333],[130.02930671924935, 74.29678976329474, 940.1463587001592, 1314.848527158222, 322.4681341033853]				
AE	1	OUTSTANDING	482.2	1824.4	2664.6	207.1	223.6	241.4	11.49	11.48	11.51	0.03	33	4	4	2	3	4			484.5	1988.4	484.5	1988.4	475.4	1994.8	465.6	1996.8	465.6	1996.8	T	N	['AW2', 'T', 'S', 'T', 'AE1', 'N', 'D', 'IH0', 'NG']	4	5	[1385.0370449564352],[484.4940033360594, 1988.428378427382, 2876.3090790777096],[482.19909835614374, 1824.4081497645766, 2664.5694989557937, 3773.130695574181],[489.0706366935203, 1201.271106827439, 2145.058641707743, 3056.8579833173717]	[1762.7147062359375],[424.79974918434533, 520.6470299391542, 685.9301299465786],[207.0886915767743, 223.59129862953625, 241.4352664533535, 360.9834940320608],[430.4606304539154, 1299.0027870447193, 208.00940252744874, 368.113279375215]				
IH	0	OUTSTANDING	425.9	1950.0	2779.3	238.1	612.6	294.4	11.569	11.559	11.589	0.03	1	4	6	2	3	0			430.6	2250.5	430.6	2250.5	433.6	2241.6	438.8	2227.2	438.8	2227.2	D	NG	['AW2', 'T', 'S', 'T', 'AE1', 'N', 'D', 'IH0', 'NG']	7	5	[1314.4358149916286],[430.639330966442, 2250.516315459149, 2935.875760536238],[425.8950059902297, 1950.0372562721836, 2779.328429461696, 3941.195847596798],[419.08918211072057, 1113.783471930666, 2299.8428743677778, 3153.487625425099, 4057.144719832429]	[789.0120221702242],[407.5420686212939, 1091.2080788819162, 578.4916999016074],[238.12390751590885, 612.6006375405227, 294.44918248042507, 585.6209125362535],[800.3477015026135, 555.1141035808527, 130.01297796076994, 183.38378076154433, 254.1452445797147]				
AY	1	I	770.1	1599.0	2651.4	343.2	269.3	460.0	11.814	11.789	11.839	0.05	41	0	0	0	0	0		m	730.3	1541.8	757.5	1566.2	770.1	1599.0	768.2	1660.1	740.6	1686.1			['AY1']	0	5	[1363.4133322830698, 2571.129164146262],[825.6319697430331, 1643.3891589791333, 2714.303372463889, 4309.065905766318],[770.1030784010575, 1599.0072915706087, 2651.4458201198777, 3425.272423366122],[775.1967082267133, 1446.813585306782, 1865.523411318111, 2815.639303019036, 3631.653855694078]	[563.4879777332918, 1132.8312119490736],[489.4031907676192, 364.41873986386656, 303.5476942673524, 1113.480248428297],[343.2458040360606, 269.27501173167036, 460.02207929221896, 1583.0405954672055],[329.84963604886076, 1144.6165425301908, 508.32114696087206, 405.5330145346891, 1100.1341476551931]				
AE	1	CAN'T	530.7	2121.5	2892.4	201.0	196.5	325.8	11.992	11.959	12.059	0.1	33	4	4	2	6	3			516.8	2182.0	530.3	2110.8	524.0	2083.1	537.9	2128.1	545.6	2155.9	K	N	['K', 'AE1', 'N', 'T']	1	4	[1510.064245859507, 3002.823161754485],[530.6960827158265, 2121.462282604203, 2892.4171934266487, 4062.2596626818677],[606.8257097752348, 2106.091338616283, 2825.965075627809, 3808.186943730699],[498.783936324232, 1087.6475897781254, 2131.085934904339, 2847.176786716184, 3816.0439204181666]	[782.6268777049402, 975.1690788192474],[201.04101402418277, 196.45974363380358, 325.7693423992555, 510.61868321788455],[238.60962026399233, 87.82503578994356, 138.6233245507989, 252.21874974166818],[189.58202137197398, 970.7484837969782, 73.20826054820414, 91.05104224319716, 161.9842986200329]				
AY	1	I	769.6	1500.6	2676.5	173.8	61.5	120.6	12.174	12.14	12.209	0.069	41	0	0	0	0	0		m	739.1	1470.5	745.5	1478.6	769.6	1500.6	820.9	1520.9	830.6	1558.5			['AY1']	0	5	[1404.7510465858236, 2739.283249745114],[874.8527509822458, 1519.6509071893795, 2720.7350122088337, 4017.576108470756],[769.6233187849597, 1500.5812647173225, 2676.4694230061455, 3148.2520508132525],[776.1348717735439, 1500.9192051382745, 2538.8176470893077, 2856.6475788114185, 3864.0791170681296]	[258.8045179154896, 210.44290080967642],[691.0055665438286, 209.8216088259813, 84.36110311896599, 663.7502121299565],[173.834111599129, 61.53082483766154, 120.60058543056816, 930.2381706615456],[170.60685884033037, 53.573097442277785, 890.7054966775233, 668.8521097685573, 544.669848952182]				
AE	1	CAN'T	588.2	2003.7	2935.3	267.8	145.9	235.1	12.426	12.4	12.479	0.079	33	4	4	2	6	3			571.5	2017.0	586.7	2003.2	566.2	1987.6	540.9	1985.6	518.4	1995.2	K	N	['K', 'AE1', 'N', 'T']	1	4	[2131.438007580799, 3320.8983126950397],[588.1821962957258, 2003.7175213982925, 2935.284796670306, 4038.979264251569],[587.3495798738734, 1976.54803660848, 2853.561652956034, 3817.6062266714407],[565.132479975373, 1458.2907160749903, 1986.561553245453, 2867.0057129780685, 3816.0797809881497]	[642.251441387477, 1014.1232308046239],[267.8049145304859, 145.94911843504283, 235.06432642336156, 398.91623934000893],[174.53246497962147, 91.44438847158246, 173.5242538471513, 358.9636891315053],[147.4101219958757, 1990.4632552836047, 107.53765236254405, 153.08206225996517, 304.2793865247145]				
IY	1	EVEN	406.5	2292.3	2879.1	623.9	169.3	196.6	12.562	12.539	12.609	0.07	11	3	2	2	0	1			433.1	2271.9	400.9	2293.3	331.2	2288.0	293.4	2138.3	289.4	1987.4		V	['IY1', 'V', 'AH0', 'N']	0	5	[2560.1763844367856, 3754.347483543302],[468.3676247604949, 2407.5067077676317, 3058.9968339520474],[406.48605817527454, 2292.281538268886, 2879.0789401901297, 3880.6159304575076],[333.7893227467676, 1126.4402040013292, 2328.0570267145345, 2940.038467244004, 3850.2272509301793]	[259.2889190001632, 581.838955616208],[485.5910154654453, 362.6858155608688, 475.1896503370678],[623.9045077143957, 169.3132910432709, 196.58416428314038, 160.61668311695203],[416.6029635182156, 730.5570793206703, 86.42627447695662, 90.03503274424175, 159.54164950276993]				
AH	0	EVEN	505.8	1666.6	2635.9	519.3	91.0	223.8	12.68	12.67	12.7	0.03	6	4	4	2	1	0			505.8	1666.6	505.8	1666.6	529.3	1668.9	538.5	1668.0	538.5	1668.0	V	N	['IY1', 'V', 'AH0', 'N']	2	5	[1754.7004863359084, 3421.3872733811004],[868.4247938910167, 2109.4596047963832, 3133.5522854385094],[505.77150383997827, 1666.6170141610658, 2635.933451018873, 3668.4528331589113],[437.13231659313357, 1609.154371041554, 1722.7065488822827, 2670.3520587622806, 3656.8534441021843]	[382.502598591741, 576.5838270447209],[711.2992731245866, 479.6471358054321, 390.8412655333349],[519.2928048668393, 90.97774966383322, 223.82462020754528, 187.8146389030665],[267.438156677298, 552.3643158263324, 891.6676029537934, 195.0120755588641, 143.39264966323208]				
IH	2	IMAGINE	387.2	1447.4	1873.7	314.5	166.1	791.7	12.759	12.749	12.779	0.03	1	4	1	2	0	2			387.2	1447.4	387.2	1447.4	390.7	1432.7	384.0	1413.4	384.0	1413.4		M	['IH2', 'M', 'AE1', 'JH', 'AH0', 'N']	0	6	[1506.9449300410824, 2932.9866049915727],[1464.0134328442184, 2751.796009357853],[415.2851869686175, 1543.0993521510786, 2731.206908544845],[387.1806656564622, 1447.3615573459485, 1873.6568007487865, 2740.7008707992827, 3728.99089280786]	[425.0372168093925, 587.6468540036864],[238.52207904483203, 409.762974851909],[754.8007764313579, 163.325784246818, 322.5606256182935],[314.4937861433229, 166.0696942545461, 791.6510022680573, 171.9932918598193, 443.75792433168294]				
AE	1	IMAGINE	673.1	1731.0	2739.6	225.2	58.8	62.0	12.956	12.91	13.049	0.139	3	2	5	2	2	1			682.8	1734.4	670.2	1733.1	655.7	1731.9	642.7	1723.3	593.4	1721.5	M	JH	['IH2', 'M', 'AE1', 'JH', 'AH0', 'N']	2	5	[1518.3399623983953, 2453.083419372406],[679.3723744732671, 1743.6087301515813, 2787.1607437561033, 3805.3271526679523],[673.1216945558391, 1730.9806737141196, 2739.5725827731735, 3665.9449972369284],[618.0369091491594, 1701.4288885309545, 1731.6856841219214, 2752.777524324215, 3660.795432836294]	[1860.6674656220985, 679.7304491507317],[664.4442327674906, 173.6809409084572, 147.79135480817652, 240.0352834405204],[225.23474322308772, 58.84393115980245, 61.970302804564724, 144.11030389758187],[116.66418186684422, 569.8615208137212, 465.3749557840599, 47.319691547870605, 99.22228594304333]				
AH	0	IMAGINE	397.8	1711.0	2685.6	193.9	73.6	114.8	13.123	13.1	13.17	0.07	6	4	4	2	5	0			381.7	1722.7	399.4	1709.6	421.4	1689.5	445.8	1664.0	464.1	1632.4	JH	N	['IH2', 'M', 'AE1', 'JH', 'AH0', 'N']	4	5	[1868.5414794848773, 3433.5234464697805],[1678.4678659691624, 2769.0425233990854, 4435.818572327394],[397.8188860666311, 1711.0432849348547, 2685.556256585437, 3766.9768612790886, 4543.570300065437],[397.83765756104714, 1607.8057324273157, 1972.3641656451064, 2920.3744729414234, 3918.1518968492933]	[1101.2559420065977, 1138.2129701107694],[397.5767906537694, 453.7810467570336, 413.4817192291061],[193.87516337981603, 73.59804526042572, 114.7614578341631, 544.2261151688149, 316.3148568909961],[227.32159266769156, 1742.3642151047895, 1670.5115884274023, 171.514862133008, 314.371554084476]				
AY	1	LIKE	650.9	1364.0	2629.9	94.1	77.4	385.0	13.296	13.29	13.339	0.049	47	1	6	1	7	0		s	649.2	1388.3	643.2	1445.9	623.5	1512.7	601.2	1577.5	585.3	1629.0	L	K	['L', 'AY1', 'K']	1	5	[1167.7632285848078, 3170.8473155405936],[722.3043416748178, 1339.3533335683499, 3183.367170725373],[650.9275282175308, 1364.0361886332255, 2629.8745290902707, 3392.4605729689224],[636.2138934386771, 1317.7688631091598, 1535.8294311900543, 2699.2125874187936, 3402.1116959854317, 4737.203881525566]	[295.9159126101091, 710.4628889598316],[452.9830741187987, 266.08321115526496, 299.5761193644198],[94.06715240031221, 77.42906252428007, 384.9764388545529, 225.97481357580972],[86.65647549863597, 465.2960614330987, 963.8410724946407, 230.7929418185148, 128.6892003075857, 592.7298892372496]				
AY	1	I	694.1	1355.4	2369.6	975.1	401.6	585.4	14.017	14.001	14.051	0.05	41	0	0	0	0	0		m	450.2	1340.6	579.1	1352.1	694.1	1355.4	810.2	1363.8	766.7	1381.9			['AY1']	0	6	[1683.2011117905408, 3256.3867300837155],[1497.4524409464348, 2826.311534979052],[1118.3873842796809, 2145.0554098071075, 3084.770210819458],[694.0655157636796, 1355.4457076202273, 2369.5747473986, 3124.3306169655234]	[1157.0145531300782, 1247.6494582995072],[954.2072895794643, 1551.5004606818156],[737.1925131873718, 644.3597022263149, 882.5115038782064],[975.0542048644471, 401.5735963594791, 585.3683696377427, 432.54379335068427]				
AH	0	JUST	588.9	1420.7	2214.1	139.8	68.6	624.0	14.091	14.081	14.112	0.031	6	3	4	1	5	3			588.9	1420.7	588.9	1420.7	572.5	1429.4	542.0	1437.2	542.0	1437.2	JH	S	['JH', 'AH0', 'S', 'T']	1	6	[1376.091580568334, 3062.9344387972633],[689.0358420009233, 1542.1559358155155, 3101.9243203230108],[600.6898469999205, 1434.319104221742, 2448.850130284178, 3200.163786404398],[588.8651244401352, 1420.6860227968418, 2214.110332915513, 3108.5426503963445, 3850.9632397963032]	[229.34888979894313, 644.6960958080907],[651.1968133362099, 190.3216240686395, 340.2875025208988],[196.6185001256814, 77.74831153555807, 705.9040577044178, 318.22778687132586],[139.79392879394433, 68.60982049699476, 624.0449114223287, 409.69996000241287, 891.0406906616289]				
AA	1	WANNA	768.1	1281.3	2686.5	442.5	680.4	232.3	14.252	14.232	14.292	0.06	5	4	4	2	9	1			682.7	1275.2	776.7	1283.0	828.3	1254.3	815.3	1363.4	803.8	1469.0	W	N	['W', 'AA1', 'N', 'AH0']	1	5	[968.7689693857096, 2746.8374115942743],[891.3026795957328, 1633.7261243548232, 2812.404821120057],[768.145965054084, 1281.3211420217353, 2686.493887800696, 3273.0411115695415],[566.8031961448104, 1101.6414523370613, 1921.507068772984, 2709.6237385822237, 3433.4765184310113]	[415.07221743974935, 290.35673753296805],[664.068658151298, 1388.9150620400605, 485.67625497158923],[442.53346770587115, 680.3946645846783, 232.27434413200135, 1220.3890833167486],[376.95244385590735, 309.75172908344115, 865.7076428652618, 170.2007329197746, 671.0424163372902]				
AH	0	WANNA	579.4	1122.0	1975.8	128.0	46.6	454.9	14.331	14.321	14.352	0.031	6	0	0	0	4	0			579.4	1122.0	579.4	1122.0	577.6	1113.7	569.8	1103.6	569.8	1103.6	N		['W', 'AA1', 'N', 'AH0']	3	6	[1048.8646172476358, 1726.8203550682097],[882.7067496565568, 1845.5062933581335, 2935.5401399148604],[694.1957328889861, 1146.561651881242, 2553.958521601185, 3215.0690977348445],[579.4116847375757, 1122.049674178637, 1975.77271180866, 2705.429765424068, 3332.4577647993096]	[355.1335493980732, 2376.37968991747],[834.2620124539988, 726.1853789077763, 565.25670648407],[508.64402576003283, 152.67276524531286, 341.0687152605123, 371.8895645571644],[127.96511159219615, 46.629413806646355, 454.9305157403945, 238.7341336421622, 204.88988962300039]				
AA	1	WATCH	575.3	1208.9	2360.6	110.2	48.2	188.6	14.461	14.441	14.501	0.06	5	2	5	1	9	0			574.1	1172.0	575.4	1214.1	573.2	1260.6	563.4	1305.6	528.2	1323.1	W	CH	['W', 'AA1', 'CH']	1	5	[1063.1035943405452, 2447.8829649221666],[639.5658987335356, 1187.4719346961604, 2643.164487793751, 3650.179325920869],[575.2956811586733, 1208.929922982724, 2360.603232817594, 3091.4920284356754, 4179.558203984733],[573.2321622459675, 1181.4321184655207, 1827.9258257815504, 2569.2329052032337, 3411.590750751475]	[570.7390441824932, 902.176884238837],[899.8816127006247, 275.00936897792207, 357.9068260553096, 937.6035398806173],[110.23450242800347, 48.17795278300704, 188.559139043509, 275.96704091522713, 812.3258393173087],[323.78533642326636, 224.1974043102339, 1586.4639368958901, 143.84699900056995, 227.31564869109673]				
