 , , F, , , , 

vowel	stress	word	F1	F2	F3	B1	B2	B3	t	beg	end	dur	cd	fm	fp	fv	ps	fs	style	glide	F1@20%	F2@20%	F1@35%	F2@35%	F1@50%	F2@50%	F1@65%	F2@65%	F1@80%	F2@80%	pPhone	fPhone	allPhones	index	nFormants	poles	bandwidths
AY	0	OKAY	832.1	2117.7	2921.6	779.1	245.8	288.7	32.382	32.377	32.622	0.245	41	0	0	0	6	0			736.6	2089.0	439.4	2165.4	716.8	2384.1	766.2	2525.8	894.1	2523.9	K		['K', 'AY0']	1	5	[2256.7283626512217, 2932.667890402125],[978.5076850242301, 2429.08545012001],[832.1203042114525, 2117.7222227748243, 2921.634033836426, 4292.804851478806],[828.4956900853175, 1991.8791444687893, 2758.2101115989803, 3572.9544005895073]	[766.3851224610397, 778.7523642615045],[670.6800257934588, 503.63005813062176],[779.1192092035582, 245.77039004505724, 288.7382312033831, 594.2767651991315],[592.4032559447738, 465.93461230335225, 430.3651746900783, 1196.5545136856094]
AH	0	UM	722.5	1874.1	3285.8	290.7	254.2	413.0	44.686	44.618	44.821	0.203	6	4	1	2	0	0			704.4	1918.9	726.3	1859.5	758.8	1748.1	716.9	1685.5	670.1	1607.9		M	['AH0', 'M']	0	5	[840.3774549608331, 2345.47146132282],[624.200624499934, 1838.8657482521146, 3547.3943874133283, 4545.493624992522],[722.4815449907331, 1874.1284382516749, 3285.808753461388, 4074.855782629001],[687.7955517802544, 1552.7786033922541, 2137.4618172143564, 3376.875100468322, 4172.64091159212]	[1129.382035136085, 2031.1043090379978],[297.207799806915, 491.97517030997386, 583.1691382875557, 1529.8863760524494],[290.72219563179186, 254.22841134333248, 413.04222428368536, 482.2495171553432],[437.56640297563223, 924.2298964061882, 1065.7107376567512, 279.4637513158416, 302.85689944423757]
AY	0	I'M	893.1	1931.8	3116.0	331.6	169.2	277.2	45.37	45.355	45.434	0.079	41	4	1	2	0	0		s	885.3	1936.0	803.8	1996.3	738.0	2077.9	670.2	2156.1	642.6	2150.0		M	['AY0', 'M']	0	5	[1603.0007225316983, 3075.581598829719],[882.2179942001687, 1918.9023118637654, 3198.1849209438096, 4974.739743460094],[893.0651524789008, 1931.758887512198, 3116.0467606295865, 4285.920680757104],[797.2792713909838, 1291.3530827882676, 1991.764257360036, 3113.4434524463177, 4104.912263425827]	[707.8969196879561, 1114.7929228656142],[485.3845348986622, 272.13760985776906, 379.44411111341986, 1128.1097572427898],[331.6359368551773, 169.21619284993267, 277.23507870127503, 1092.713416352491],[388.3268314611115, 1102.478685637323, 367.4069234674847, 225.47418356003575, 773.4415650080607]
AY	0	I'VE	1038.0	1708.7	2740.4	325.5	219.6	1192.5	46.664	46.616	47.207	0.591	41	3	2	2	0	0			561.5	1426.2	680.6	1343.9	726.3	2308.9	606.2	2565.7	477.6	2643.0		V	['AY0', 'V']	0	6	[1827.4587597885256, 3341.3935954672834],[1006.0238429150288, 1696.127577422775, 2932.0966663296417, 4306.35207886256],[1044.610254054942, 1731.0552964497558, 3016.6826162714387, 4121.744910957978],[1038.019295884619, 1708.6798636727774, 2740.386840816493, 3015.87439323996, 4181.9009246812175]	[1017.134535780418, 1272.0780007116011],[194.39841563728086, 305.02942893790737, 342.36016492600305, 605.5892494575403],[402.103363908359, 224.33290390289807, 134.774586106245, 591.4464516362785],[325.53134933691183, 219.60444420211087, 1192.539399411109, 677.2190418431071, 504.7797737121235]
AH	0	LIVED	627.3	1576.5	3440.7	181.4	79.8	112.0	47.375	47.355	47.415	0.06	6	3	2	2	7	3			620.1	1526.9	627.7	1579.9	633.0	1612.8	625.8	1659.3	607.2	1718.1	L	V	['L', 'AH0', 'V', 'D']	1	5	[1139.6352534084408, 3395.3712899341494],[556.2255582021866, 1534.5532032773522, 3457.634603118013, 4454.224820089209],[627.2561176114832, 1576.538434802595, 3440.729110500435, 4382.951917629645],[637.8170910832465, 1568.6107412471, 2544.1251318210257, 3453.323604806648, 4383.403569051057]	[878.544758248484, 675.6679136041113],[106.29481864593308, 105.70629832913127, 209.99477460679307, 459.2313486055559],[181.44178238416447, 79.81835728777396, 112.02406462110173, 328.81065350448335],[145.10845312089407, 73.99648375915466, 2518.668656044932, 103.88494889706655, 246.8316934514171]
IH	0	IN	631.1	2349.1	3353.0	104.1	225.5	93.8	47.553	47.531	47.598	0.067	1	4	4	2	0	0			560.9	2288.1	632.6	2354.3	628.9	2367.0	620.7	2392.4	618.6	2393.7		N	['IH0', 'N']	0	5	[557.326230660731, 3167.709006468485, 4812.556811224162],[528.8295458854847, 2180.3539980296327, 3332.5740045357466, 4824.095607254449],[631.0904876748705, 2349.109380498599, 3353.043576274994, 4645.478464377422],[632.4246519530461, 2298.84230105756, 3230.8031277313657, 3586.2090354713805]	[277.5628567383625, 471.0778120079717, 1520.8327107860305],[113.15050615869296, 990.1254290265344, 279.5857693673843, 483.3783024801651],[104.05038013060265, 225.48994399677008, 93.75508036634659, 322.11566722246147],[64.97710998570368, 244.2532006892022, 1310.0802803375313, 1887.4779005658318]
AH	0	COLUMBUS	690.7	1113.4	2499.5	156.6	502.8	1278.9	47.805	47.783	47.848	0.065	6	1	1	2	8	1			700.7	1080.0	687.9	1120.1	657.4	1191.0	632.7	1270.7	617.7	1317.4	L	B	['K', 'L', 'AH0', 'B', 'AH0', 'S']	2	6	[748.3931032091032, 3993.852390337112],[682.4204641214086, 856.8896454676066, 3530.100491223942, 4615.564203294603],[703.87746015319, 1182.7703275723356, 3387.64372573611, 4443.25391894171],[690.7042946391241, 1113.3844992334268, 2499.4943888462903, 3511.468110504833, 4441.101659948568]	[174.43601717721424, 691.051209682642],[393.9939584506172, 650.2718837436115, 741.3192778679659, 704.592161466876],[191.22983852441, 835.5507634134765, 450.32923820544164, 586.0332482291819],[156.56142326450197, 502.7509198965599, 1278.8879389236354, 346.99282888042524, 274.12309398527026]
AH	0	COLUMBUS	624.2	1912.4	3301.4	171.1	146.9	80.4	47.972	47.95	48.016	0.066	6	3	4	1	1	0			620.0	1907.4	622.3	1914.0	588.4	1936.2	528.7	1943.6	434.6	1959.6	B	S	['K', 'L', 'AH0', 'B', 'AH0', 'S']	4	5	[836.2530754787726, 3334.471582830705],[525.0103939319279, 1842.1737860242852, 3351.6080624768642, 4763.241253566964],[624.2483631233997, 1912.4026456830325, 3301.3966301184105, 4320.1320511818485],[636.8718932660718, 1891.8044006822126, 3245.5378733941347, 3469.8972437645907, 4422.950144166065]	[1069.6328726725317, 792.4100277627767],[149.98086005432995, 413.07612518378255, 207.38413878827552, 791.7228454521891],[171.1194771915745, 146.91501177892044, 80.4054515731159, 417.0084824744993],[118.8583157791829, 120.76905213408814, 1676.460960970017, 1944.3508135790441, 1117.5570739784112]
AY	0	MY	578.5	1968.2	3343.3	395.4	101.2	413.7	48.232	48.219	48.312	0.093	41	0	0	0	2	0			558.8	1678.9	560.7	1838.5	578.5	1968.2	551.0	2097.4	527.8	2198.0	M		['M', 'AY0']	1	5	[1833.9257942217682, 3436.910832935375],[568.2889203410164, 1762.241471679405, 3477.1006271141873],[578.512582801038, 1968.1899937923172, 3343.258787258563, 4097.76307464031],[587.7116825395352, 1322.1121688892858, 2532.517599907076, 3436.5818846369207]	[515.5481402241842, 1106.8256922693606],[546.8013203908262, 997.4793947911276, 340.74833006863787],[395.36963965760754, 101.18343751901801, 413.70113834567564, 753.0921884988935],[342.9266773475018, 576.7649848353908, 334.32427857217374, 689.0750350754995]
EH	0	ENTIRE	619.3	2281.8	3129.9	131.1	123.9	1024.4	48.338	48.312	48.39	0.078	2	4	4	2	0	4			616.3	2291.7	619.7	2282.7	619.9	2282.6	617.2	2279.8	611.2	2238.6		N	['EH0', 'N', 'T', 'EH0', 'R']	0	6	[1791.8440517269585, 3620.3854565593415],[530.6548383483391, 2339.8481645221264, 3352.1590594257937, 4893.685411782962],[569.251725522541, 2316.8650248622907, 3227.7664308204794, 4188.795030882201],[619.31254731171, 2281.8129897484, 3129.9292070530746, 3291.4281356250763, 4327.987954412771]	[890.746946437562, 1515.2806404927874],[161.78162031610492, 212.58492815161128, 367.1935288765055, 1178.909463321458],[199.70071833025784, 120.31178126820096, 255.39774222774616, 625.3172974736543],[131.07883844825636, 123.92223031713473, 1024.4041807882484, 815.3640841850638, 735.8764497598802]
EH	0	ENTIRE	502.0	2097.0	2838.9	234.2	136.4	425.0	48.575	48.538	48.65	0.112	24	6	4	2	3	0			519.0	2115.6	494.9	2094.2	459.3	2076.7	470.2	2060.2	456.3	2002.1	T	R	['EH0', 'N', 'T', 'EH0', 'R']	3	5	[2164.197273501595, 3204.018959689613],[401.02021976104805, 2181.622929130623, 3222.5102575208566],[502.0395477882854, 2096.983284684782, 2838.8703879038985, 3763.7556306762626],[521.774049731693, 1351.0354440171013, 2414.8215055937217, 3214.090674989291]	[427.50958898302946, 1098.2088562092194],[819.0747919981502, 195.1982179550938, 531.9425921985651],[234.21026659963312, 136.40453675468027, 425.04952233681234, 593.3257110966556],[573.7151981276946, 1254.4162684901319, 156.12400345387314, 205.82047317216453]
